Date,CL1 Comdty,COLTES 10 07/24/2024 Govt,COFX Index
19/03/2009," 51,61 ","9,605","2338,3"
20/03/2009," 51,06 ","9,48",2359
24/03/2009," 53,98 ","9,68","2367,6"
25/03/2009," 52,77 ","9,74",2414
26/03/2009," 54,34 ","9,89","2435,99"
27/03/2009," 52,38 ","9,95","2494,4"
31/03/2009," 49,66 ","9,9",2547
01/04/2009," 48,39 ","9,79","2495,5"
02/04/2009," 52,64 ","9,76","2440,1"
03/04/2009," 52,51 ","9,8",2413
06/04/2009," 51,05 ","9,667","2409,1"
07/04/2009," 49,15 ","9,67","2420,2"
08/04/2009," 49,38 ","9,65",2414
13/04/2009," 50,05 ","9,491",2386
14/04/2009," 49,41 ","9,305","2391,4"
15/04/2009," 49,25 ","9,295","2370,8"
16/04/2009," 49,98 ","9,374","2348,9"
17/04/2009," 50,33 ","9,37","2341,95"
20/04/2009," 45,88 ","9,39","2377,1"
21/04/2009," 46,51 ","9,245","2330,7"
22/04/2009," 48,85 ","9,17","2316,5"
23/04/2009," 49,62 ","9,15","2303,88"
24/04/2009," 51,55 ","9,164",2290
27/04/2009," 50,14 ","9,26","2340,05"
28/04/2009," 49,92 ","9,193","2329,6"
29/04/2009," 50,97 ","9,16","2292,05"
30/04/2009," 51,12 ","9,15","2294,95"
04/05/2009," 54,47 ","9,147","2280,64"
05/05/2009," 53,84 ","9,155",2252
06/05/2009," 56,34 ","9,2","2228,1"
07/05/2009," 56,71 ","9,1",2222
08/05/2009," 58,63 ","9,07","2202,01"
11/05/2009," 58,50 ","9,001","2223,99"
12/05/2009," 58,85 ","8,941","2234,95"
13/05/2009," 58,02 ","8,88","2252,25"
14/05/2009," 58,62 ","8,92",2259
15/05/2009," 56,34 ","8,935","2263,5"
18/05/2009," 59,03 ","8,915","2246,15"
19/05/2009," 59,65 ","8,862",2217
20/05/2009," 62,04 ","8,84","2193,5"
21/05/2009," 61,05 ",9,"2205,5"
22/05/2009," 61,67 ","9,07","2207,4"
26/05/2009," 62,45 ","9,09","2214,55"
27/05/2009," 63,45 ","9,1","2213,5"
28/05/2009," 65,08 ","9,225",2175
29/05/2009," 66,31 ","9,19","2137,5"
