Date,CL1 Comdty,COFX Index,COLTES 10 07/24/2024 Govt
28/08/2015 08:00,"41,99",3167,"7,65"
28/08/2015 08:05,"42,15",3174,"7,641"
28/08/2015 08:10,"42,23",3179,"7,65"
28/08/2015 08:20,"42,16","3170,5","7,65"
28/08/2015 08:25,"42,25",3159,"7,635"
28/08/2015 08:30,"42,46","3131,1","7,615"
28/08/2015 08:35,"42,73",3120,"7,6"
28/08/2015 08:40,"42,71",3091,"7,597"
28/08/2015 08:45,"42,45",3108,"7,61"
28/08/2015 08:50,"42,58",3116,"7,616"
28/08/2015 08:55,"42,83","3113,71","7,61"
28/08/2015 09:00,"43,01",3109,"7,601"
28/08/2015 09:05,"42,95",3112,"7,618"
28/08/2015 09:10,"43,38",3115,"7,62"
28/08/2015 09:15,"43,76","3101,7","7,605"
28/08/2015 09:20,"43,78","3101,61","7,609"
28/08/2015 09:25,"44,41",3085,"7,58"
28/08/2015 09:30,"44,41",3090,"7,59"
28/08/2015 09:40,"44,17","3090,2","7,6"
28/08/2015 09:45,"44,15","3097,8","7,599"
28/08/2015 09:50,"44,44",3098,"7,6"
28/08/2015 09:55,"44,45","3089,5","7,6"
28/08/2015 10:00,"44,53",3096,"7,6"
28/08/2015 10:05,"44,12",3094,"7,6"
28/08/2015 10:25,"44,64","3098,1","7,605"
28/08/2015 10:30,"44,98","3098,5","7,614"
28/08/2015 10:35,"45,09","3091,05","7,62"
28/08/2015 10:40,"45,08","3093,2","7,615"
28/08/2015 10:45,"44,98",3092,"7,615"
28/08/2015 10:50,"44,78","3093,5","7,607"
28/08/2015 10:55,"44,91","3091,1","7,621"
28/08/2015 11:00,"44,98",3087,"7,615"
28/08/2015 11:05,"45,19","3095,5","7,62"
28/08/2015 11:10,"45,26","3096,5","7,625"
28/08/2015 11:15,"45,28",3090,"7,625"
28/08/2015 11:20,"45,26",3092,"7,62"
28/08/2015 11:30,"45,48","3087,05","7,62"
28/08/2015 11:35,"45,44","3083,5","7,606"
28/08/2015 11:40,"45,23",3075,"7,595"
28/08/2015 11:45,"45,37",3074,"7,6"
28/08/2015 11:50,"45,57","3082,1","7,6"
28/08/2015 12:05,"45,72",3078,"7,601"
28/08/2015 12:10,"45,5","3079,9","7,62"
28/08/2015 12:15,"45,64","3078,5","7,62"
28/08/2015 12:20,"45,53",3080,"7,61"
28/08/2015 12:30,"45,57","3064,4","7,61"
28/08/2015 12:35,"45,05","3072,8","7,601"
28/08/2015 12:40,"44,83","3075,95","7,619"
28/08/2015 12:45,"44,97","3075,5","7,62"
28/08/2015 12:50,"45,2",3082,"7,625"
28/08/2015 12:55,"45,12","3075,2","7,625"
31/08/2015 08:00,"44,31",3105,"7,65"
31/08/2015 08:05,"44,69",3096,"7,655"
31/08/2015 08:10,"44,71","3109,8","7,66"
31/08/2015 08:15,"44,6",3105,"7,665"
31/08/2015 08:20,"44,56","3112,05","7,66"
31/08/2015 08:30,"44,45",3114,"7,654"
31/08/2015 08:35,"44,21",3117,"7,668"
31/08/2015 08:40,"44,08",3118,"7,663"
31/08/2015 08:50,"44,06","3119,05","7,66"
31/08/2015 08:55,"43,68","3117,88","7,67"
31/08/2015 09:00,"43,79","3113,5","7,68"
31/08/2015 09:05,"43,98",3111,"7,68"
31/08/2015 09:10,"43,98","3106,15","7,66"
31/08/2015 09:15,"43,96","3106,1","7,66"
31/08/2015 09:20,"44,06",3106,"7,663"
31/08/2015 09:25,"43,97",3101,"7,661"
31/08/2015 09:30,"44,14",3097,"7,651"
31/08/2015 09:35,"44,36",3094,"7,65"
31/08/2015 09:40,"44,28","3092,2","7,655"
31/08/2015 09:50,"44,57",3097,"7,66"
31/08/2015 09:55,"44,34","3091,7","7,652"
31/08/2015 10:00,"44,46",3087,"7,651"
31/08/2015 10:05,"44,64",3088,"7,65"
31/08/2015 10:15,"44,96","3086,5","7,655"
31/08/2015 10:25,"45,83","3085,3","7,66"
31/08/2015 10:30,"45,83",3088,"7,65"
31/08/2015 10:35,"46,4","3078,5","7,645"
31/08/2015 10:40,"46,9",3075,"7,638"
31/08/2015 10:45,"47,22",3065,"7,625"
31/08/2015 10:50,"47,65",3059,"7,63"
31/08/2015 10:55,"47,61",3047,"7,625"
31/08/2015 11:00,"47,76",3040,"7,62"
31/08/2015 11:05,"47,53","3044,95","7,62"
31/08/2015 11:10,"47,2","3054,3","7,63"
31/08/2015 11:15,"47,48",3056,"7,635"
31/08/2015 11:20,"47,34","3058,9","7,62"
31/08/2015 11:35,"47,68","3057,8","7,636"
31/08/2015 11:40,"47,69","3052,55","7,64"
31/08/2015 11:45,"47,97",3050,"7,64"
31/08/2015 11:55,"47,74",3055,"7,64"
31/08/2015 12:00,"47,82","3053,7","7,639"
31/08/2015 12:05,"47,97","3055,2","7,638"
31/08/2015 12:10,"48,05","3055,5","7,635"
31/08/2015 12:15,48,"3062,9","7,64"
31/08/2015 12:20,"47,91","3059,9","7,643"
31/08/2015 12:30,"47,89","3061,9","7,655"
31/08/2015 12:35,"48,11","3052,6","7,651"
31/08/2015 12:45,"48,42","3047,5","7,65"
31/08/2015 12:50,"48,68","3047,05","7,65"
31/08/2015 12:55,"48,92",3055,"7,65"
01/09/2015 08:00,"47,19",3090,"7,68"
01/09/2015 08:05,"47,57","3088,7","7,68"
01/09/2015 08:10,"47,42","3080,05","7,7"
01/09/2015 08:15,"47,41",3078,"7,695"
01/09/2015 08:20,"47,24",3066,"7,691"
01/09/2015 08:25,"47,24","3062,25","7,679"
01/09/2015 08:30,"47,12","3055,5","7,679"
01/09/2015 08:35,"47,44",3047,"7,676"
01/09/2015 08:40,"47,46",3046,"7,683"
01/09/2015 08:45,"47,26","3054,8","7,68"
01/09/2015 08:50,"47,26",3061,"7,685"
01/09/2015 08:55,"47,19","3060,5","7,68"
01/09/2015 09:05,"46,7","3072,77","7,693"
01/09/2015 09:10,"46,86",3082,"7,71"
01/09/2015 09:15,"46,86",3088,"7,701"
01/09/2015 09:20,"46,64",3092,"7,71"
01/09/2015 09:25,"46,58",3090,"7,71"
01/09/2015 09:30,"46,41",3088,"7,702"
01/09/2015 09:40,"46,18","3103,3","7,725"
01/09/2015 09:45,"46,04","3099,4","7,722"
01/09/2015 09:50,"45,98","3102,8","7,72"
01/09/2015 09:55,"45,88","3099,5","7,71"
01/09/2015 10:00,"45,93",3097,"7,715"
01/09/2015 10:10,"46,31",3094,"7,707"
01/09/2015 10:15,"46,14","3094,9","7,705"
01/09/2015 10:20,"46,21",3094,"7,71"
01/09/2015 10:25,"45,81",3099,"7,72"
01/09/2015 10:30,"45,66",3100,"7,72"
01/09/2015 10:35,"45,66",3107,"7,732"
01/09/2015 10:40,"45,36","3109,75","7,74"
01/09/2015 10:45,"45,48",3110,"7,74"
01/09/2015 10:55,"45,62",3107,"7,73"
01/09/2015 11:00,"45,48",3104,"7,732"
01/09/2015 11:05,"45,64",3104,"7,721"
01/09/2015 11:10,"45,67","3103,5","7,72"
01/09/2015 11:15,"46,14","3108,3","7,727"
01/09/2015 11:20,"45,93",3105,"7,72"
01/09/2015 11:25,"45,79",3110,"7,724"
01/09/2015 11:30,"46,02","3105,5","7,72"
01/09/2015 11:35,46,3109,"7,72"
01/09/2015 11:40,"45,9",3113,"7,725"
01/09/2015 11:45,"45,82","3106,15","7,727"
01/09/2015 12:05,"45,62",3116,"7,744"
01/09/2015 12:10,"45,65",3116,"7,741"
01/09/2015 12:15,"45,63",3116,"7,75"
01/09/2015 12:20,"45,62",3116,"7,75"
01/09/2015 12:25,"45,51","3117,7","7,75"
01/09/2015 12:30,"45,56",3121,"7,753"
01/09/2015 12:40,"45,79","3119,95","7,75"
01/09/2015 12:45,"45,77",3120,"7,75"
01/09/2015 12:50,"45,96",3113,"7,748"
01/09/2015 12:55,"45,95","3114,9","7,75"
02/09/2015 08:00,"45,73",3099,"7,75"
02/09/2015 08:05,"45,7","3090,2","7,741"
02/09/2015 08:10,"45,57",3087,"7,74"
02/09/2015 08:15,"45,85",3090,"7,74"
02/09/2015 08:20,"46,24","3085,15","7,748"
02/09/2015 08:25,"46,15",3078,"7,74"
02/09/2015 08:30,"45,68","3088,2","7,745"
02/09/2015 08:35,"45,36",3095,"7,77"
02/09/2015 08:40,"45,42",3100,"7,79"
02/09/2015 08:45,"45,5","3102,4","7,79"
02/09/2015 08:50,"45,79","3107,5","7,79"
02/09/2015 08:55,"45,31",3119,"7,81"
02/09/2015 09:00,"45,38",3130,"7,81"
02/09/2015 09:05,"45,44","3120,8","7,8"
02/09/2015 09:10,"45,35",3140,"7,809"
02/09/2015 09:15,"45,06","3137,5","7,81"
02/09/2015 09:20,"45,24",3143,"7,809"
02/09/2015 09:25,"44,97","3132,5","7,8"
02/09/2015 09:30,"44,42",3150,"7,83"
02/09/2015 09:35,"44,44",3144,"7,83"
02/09/2015 09:40,"44,45",3142,"7,83"
02/09/2015 09:45,"43,88",3150,"7,84"
02/09/2015 09:50,"44,02","3148,8","7,86"
02/09/2015 09:55,"43,93",3141,"7,87"
02/09/2015 10:00,"44,17",3140,"7,84"
02/09/2015 10:05,"44,35",3140,"7,85"
02/09/2015 10:10,"44,26",3136,"7,85"
02/09/2015 10:15,"44,09",3146,"7,86"
02/09/2015 10:20,"44,07",3143,"7,86"
02/09/2015 10:25,"43,92",3146,"7,85"
02/09/2015 10:30,"44,02","3143,1","7,84"
02/09/2015 10:35,"43,85","3150,2","7,846"
02/09/2015 10:40,"43,88",3158,"7,852"
02/09/2015 10:45,"43,83",3158,"7,859"
02/09/2015 10:50,"43,4",3169,"7,86"
